ref,subject,description,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,dev-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason
25,Configure each game individually,"As a game host, I want to configure each game independently, so that each game can be played with different settings.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,40.0,40.0,15,2,1541522228961,2018-11-06 16:37:08.970747+00:00,2018-12-13 18:43:18.566401+00:00,2018-12-13 18:48:38.301985+00:00,False,False,0,,,81,,[],0,,
26,User interface for game host,"As a game host, I want a user interface so that I can operate the server intuitively.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,In progress,True,30.0,30.0,42,7,1541522340159,2018-11-06 16:39:00.164410+00:00,2018-12-13 18:22:46.492397+00:00,2018-12-13 18:25:20.564411+00:00,False,False,0,,,"137,138,139,140",,[],0,,
27,Infinite number of games can be created,"As a game host, I want to be able to create an infinite number of games, so that every player has the opportunity to participate in a game.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,Ready,True,30.0,30.0,43,10,1541522440200,2018-11-06 16:40:40.210213+00:00,2018-12-13 18:22:45.297843+00:00,2018-12-13 18:25:48.919035+00:00,False,False,0,,,145,,[],0,,
28,List of logged in players,"As a game host, I want a list of every logged in player so that I can assign players to upcoming games.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,20.0,20.0,12,0,1541522489517,2018-11-06 16:41:29.526547+00:00,2018-12-13 18:43:22.095997+00:00,2018-12-13 18:47:55.842196+00:00,False,False,0,,,83,,[],0,,
29,Game host assign players to game,"As a game host, I want to be able to assign every player to a game, so that he can play as soon as possible.",5. Sprint,2018-12-18,2018-12-24,lgehring,Lukas Gehring,,,,,New,True,40.0,40.0,25,7,1541522558934,2018-11-06 16:42:38.944648+00:00,2018-12-21 13:48:48.477123+00:00,2019-01-04 10:39:07.553193+00:00,False,False,0,,,"84,85,163",,[],0,,
30,Game host start games,"As a game host, I want to start upcoming games.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,40.0,40.0,16,4,1541522622586,2018-11-06 16:43:42.595693+00:00,2018-12-13 18:43:16.804702+00:00,2018-12-13 18:50:04.670607+00:00,False,False,0,,,"86,87,88,151",,[],0,,
31,Game host pause and resume games,"As a game host, I want to be able to pause and resume running games, so that I can respond to needed interruptions.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,In progress,True,30.0,30.0,50,12,1541522695043,2018-11-06 16:44:55.050966+00:00,2018-12-13 18:22:41.020470+00:00,2018-12-13 18:27:06.584471+00:00,False,False,0,,,"89,90,91",,[],0,,
32,Game host abort games,"As a game host, I want to be to able abort games so that I can react when a game can not be played to the end.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,Ready,True,50.0,50.0,51,5,1541522760677,2018-11-06 16:46:00.686631+00:00,2018-12-13 18:22:37.973896+00:00,2018-12-13 18:24:34.808603+00:00,False,False,0,,,127,,[],0,,
33,Create schedule of games,"As a game host, I want to create a schedule of games so that I can run a tournament.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,New,True,60.0,60.0,26,2,1541522812926,2018-11-06 16:46:52.935631+00:00,2019-01-15 16:58:54.465430+00:00,2019-01-22 11:02:03.351780+00:00,False,False,0,,,"131,133,220",,[],0,,
34,Game host start tournaments,"As a game host, I want to start upcoming tournaments, so that the players can play a tournament.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,New,True,20.0,20.0,27,1,1541522858741,2018-11-06 16:47:38.750687+00:00,2019-01-15 16:58:52.530618+00:00,2019-01-22 11:02:00.552515+00:00,False,False,0,,,132,,[],0,,
35,Start and stop game server,"As a game host, I want to start and stop a game server.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,Ready,True,20.0,20.0,37,9,1541673913323,2018-11-08 10:45:13.330607+00:00,2018-12-13 18:22:43.787534+00:00,2018-12-13 18:25:47.249978+00:00,False,False,0,,,"125,126",,[],0,,
49,Chat function for Observer,"As an observer, I want to be able to chat with other observers so that I can communicate to players who are not in the same room.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,40.0,40.0,34,22,1541679773724,2018-11-08 12:22:53.733062+00:00,2018-12-13 18:23:20.113057+00:00,2018-12-13 18:35:40.810991+00:00,False,False,0,,,"135,136",,[],0,,
105,Total time of a game,"As an observer, I want to see the total played time so that I can see how long the game might take.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,In progress,True,20.0,20.0,49,13,1541772402254,2018-11-09 14:06:42.263973+00:00,2018-12-13 18:22:39.652693+00:00,2018-12-13 18:27:20.063643+00:00,False,False,0,,,"106,107",,[],0,,
108,See played tiles from each player,"As an observer, I want to see all the already played tiles from each player.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,40.0,40.0,21,17,1541774408420,2018-11-09 14:40:08.429104+00:00,2018-12-13 18:23:09.954195+00:00,2018-12-13 18:32:30.187991+00:00,False,False,0,,,109,,[],0,,
112,Engine participant performs correct moves on board,"As an engine participant, I want to be able to put tiles on the board so that I can play against another players or engine participants.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,In progress,True,70.0,70.0,8,6,1541841396925,2018-11-10 09:16:36.933529+00:00,2019-01-15 16:58:40.236869+00:00,2019-01-22 11:01:10.069403+00:00,False,False,0,,,"113,147,214",,[],0,,
